s,title_num,chapter_num,subchapter_num,section_num,title_name,chapter_name,subchapter_name,section_name,universal_citation,current_through,section_content_text,file_source
T10A_C14_SC4_SEC10A_14_4_2,10A,14,4,10A_14_4_2,CORRECTIONS,"INMATE HYGIENE AND GROOMING; USE OF TOBACCO PRODUCTS; INMATE IDENTIFICATION PHOTOGRAPHS; HOUSEKEEPING AND SANITATION; CLOTHING, BEDDING, AND LAUNDRY",HOUSEKEEPING AND SANITATION,Waste disposal,,"Current through Register Vol. 57, No. 12, June 16, 2025","(a) Liquid, solid and recyclable wastes shall be appropriately separated, stored, collected, and disposed of in a manner that will protect the health and safety of all persons within a correctional facility and avoid the creation of a nuisance or hazard. (b) Garbage shall be stored in durable rust-resistant, watertight, rodent-proof, and cleanable containers with tightfitting lids.",title-10a/chapter-14/subchapter-4/section-10a-14-4-2.html
T10A_C14_SC4_SEC10A_14_4_3,10A,14,4,10A_14_4_3,CORRECTIONS,"INMATE HYGIENE AND GROOMING; USE OF TOBACCO PRODUCTS; INMATE IDENTIFICATION PHOTOGRAPHS; HOUSEKEEPING AND SANITATION; CLOTHING, BEDDING, AND LAUNDRY",HOUSEKEEPING AND SANITATION,Control of vermin and pests,,"Current through Register Vol. 57, No. 12, June 16, 2025",(a) Designated staff at each correctional facility shall provide for the control of vermin and pests under the direction of licensed pest control specialists. (b) Pest control inspections shall be conducted on a regular basis.,title-10a/chapter-14/subchapter-4/section-10a-14-4-3.html
T10A_C14_SC4_SEC10A_14_4_4,10A,14,4,10A_14_4_4,CORRECTIONS,"INMATE HYGIENE AND GROOMING; USE OF TOBACCO PRODUCTS; INMATE IDENTIFICATION PHOTOGRAPHS; HOUSEKEEPING AND SANITATION; CLOTHING, BEDDING, AND LAUNDRY",HOUSEKEEPING AND SANITATION,Inspections by correctional facility staff members,,,,title-10a/chapter-14/subchapter-4/section-10a-14-4-4.html
T10A_C14_SC4_SEC10A_14_4_5,10A,14,4,10A_14_4_5,CORRECTIONS,"INMATE HYGIENE AND GROOMING; USE OF TOBACCO PRODUCTS; INMATE IDENTIFICATION PHOTOGRAPHS; HOUSEKEEPING AND SANITATION; CLOTHING, BEDDING, AND LAUNDRY",HOUSEKEEPING AND SANITATION,Inspections by the State Department of Health and Senior Services,,"Current through Register Vol. 57, No. 12, June 16, 2025","(a) Staff from the Field Services Unit shall act as a liaison in regard to the sanitary inspections conducted by the New Jersey Department of Health and Senior Services. (b) Each correctional facility within the Department shall be inspected by and in accordance with the required schedule of the State Department of Health and Senior Services. (c) Upon completion of the inspection, each correctional facility receiving a rating other than satisfactory shall be required to respond to the cited deficiencies on Form 360-I Remedial Action Plan Report. The completed report shall be submitted to the Supervisor, Field Services Unit within 21 calendar days after the completion of the inspection. (d) Form 360-I Remedial Action Plan Report shall be completed in the following manner: 1. All deficiencies cited in the State Department of Health and Senior Services inspection document shall be entered onto Form 360-I in the order in which the deficiencies appear on the document, together with the appropriate agency code/reference number(s), if indicated, and the area of the correctional facility inspected. 1. All deficiencies cited in the State Department of Health and Senior Services inspection document shall be entered onto Form 360-I in the order in which the deficiencies appear on the document, together with the appropriate agency code/reference number(s), if indicated, and the area of the correctional facility inspected. 2. The specific action(s) taken to correct each deficiency shall be briefly stated along with the scheduled completion date of each. Where work orders are involved, the correctional facility staff shall indicate the scheduled completion date of the action(s) required. Dates of work order submissions are not acceptable as completion dates; and 3. Designated staff at each correctional facility shall schedule completion of all corrective action(s) no later than 21 calendar days subsequent to receipt of the inspection report, except where the needed materials, supplies and/or services are documented to require additional acquisition or completion time. In these cases, the earliest possible completion dates shall be scheduled and entered on the form.",title-10a/chapter-14/subchapter-4/section-10a-14-4-5.html
T10A_C14_SC4_SEC10A_14_4_6,10A,14,4,10A_14_4_6,CORRECTIONS,"INMATE HYGIENE AND GROOMING; USE OF TOBACCO PRODUCTS; INMATE IDENTIFICATION PHOTOGRAPHS; HOUSEKEEPING AND SANITATION; CLOTHING, BEDDING, AND LAUNDRY",HOUSEKEEPING AND SANITATION,"Policies of the Division of Operations, Field Services Unit",,"Current through Register Vol. 57, No. 12, June 16, 2025","(a) The Division of Operations, Field Services Unit shall be responsible to formulate written policies to help ensure compliance with New Jersey health codes, acceptable water supply, waste disposal methods, and control of vermin and pests. 1. These policies shall be reviewed annually and updated when necessary. 1. These policies shall be reviewed annually and updated when necessary. 2. All policy revisions and annual updates shall be sent to each correctional facility.",title-10a/chapter-14/subchapter-4/section-10a-14-4-6.html
T10A_C14_SC5_SEC10A_14_5_1,10A,14,5,10A_14_5_1,CORRECTIONS,"INMATE HYGIENE AND GROOMING; USE OF TOBACCO PRODUCTS; INMATE IDENTIFICATION PHOTOGRAPHS; HOUSEKEEPING AND SANITATION; CLOTHING, BEDDING, AND LAUNDRY","CLOTHING, BEDDING AND LAUNDRY",Basic clothing issue,,"Current through Register Vol. 57, No. 12, June 16, 2025","(a) Staff at the designated reception facility shall provide an initial basic clothing issue to all inmates, as deemed appropriate based on gender and weather conditions. (b) The Assistant Commissioner or designee, Division of Operations, shall be responsible for standardizing the basic clothing issue. (c) Prior to the last working day of June each year, each correctional facility shall submit to the Assistant Commissioner or designee, Division of Operations, for review and approval, a current listing of the basic clothing issue of the correctional facility. (d) During the course of the year, any additions to, deletions of, and substitutions to the listed basic clothing issue shall be approved, in writing, by the Assistant Commissioner or designee, Division of Operations.",title-10a/chapter-14/subchapter-5/section-10a-14-5-1.html
T10A_C14_SC5_SEC10A_14_5_10,10A,14,5,10A_14_5_10,CORRECTIONS,"INMATE HYGIENE AND GROOMING; USE OF TOBACCO PRODUCTS; INMATE IDENTIFICATION PHOTOGRAPHS; HOUSEKEEPING AND SANITATION; CLOTHING, BEDDING, AND LAUNDRY","CLOTHING, BEDDING AND LAUNDRY",Clothing storage,,,,title-10a/chapter-14/subchapter-5/section-10a-14-5-10.html
T10A_C14_SC5_SEC10A_14_5_11,10A,14,5,10A_14_5_11,CORRECTIONS,"INMATE HYGIENE AND GROOMING; USE OF TOBACCO PRODUCTS; INMATE IDENTIFICATION PHOTOGRAPHS; HOUSEKEEPING AND SANITATION; CLOTHING, BEDDING, AND LAUNDRY","CLOTHING, BEDDING AND LAUNDRY",Bedding and towels,,"Current through Register Vol. 57, No. 12, June 16, 2025",(a) A correctional facility staff member shall be responsible for issuing clean bedding and towels to inmates in general population in accordance with facility internal management procedures. (b) Clean bedding shall be provided on an exchange basis.,title-10a/chapter-14/subchapter-5/section-10a-14-5-11.html
T10A_C14_SC5_SEC10A_14_5_12,10A,14,5,10A_14_5_12,CORRECTIONS,"INMATE HYGIENE AND GROOMING; USE OF TOBACCO PRODUCTS; INMATE IDENTIFICATION PHOTOGRAPHS; HOUSEKEEPING AND SANITATION; CLOTHING, BEDDING, AND LAUNDRY","CLOTHING, BEDDING AND LAUNDRY",Correctional facility/unit laundry services,,"Current through Register Vol. 57, No. 12, June 16, 2025","(a) Unless laundry facilities are provided for inmate use, correctional facility staff shall be responsible for having inmate clothing laundered at the designated Central Laundry a minimum of once a week. (b) Linens shall be exchanged a minimum of once a week. (c) Blankets shall be processed through the Central Laundry a minimum of once every six months.",title-10a/chapter-14/subchapter-5/section-10a-14-5-12.html
T10A_C14_SC5_SEC10A_14_5_13,10A,14,5,10A_14_5_13,CORRECTIONS,"INMATE HYGIENE AND GROOMING; USE OF TOBACCO PRODUCTS; INMATE IDENTIFICATION PHOTOGRAPHS; HOUSEKEEPING AND SANITATION; CLOTHING, BEDDING, AND LAUNDRY","CLOTHING, BEDDING AND LAUNDRY",Central Laundry policies and procedures,,"Current through Register Vol. 57, No. 12, June 16, 2025","(a) The Director or designee, Division of Operations, Field Services Unit shall be responsible for formulating internal management procedures for the operation of the Central Laundry within the Department. (b) The Central Laundry policies and procedures shall be updated as necessary.",title-10a/chapter-14/subchapter-5/section-10a-14-5-13.html
T10A_C14_SC5_SEC10A_14_5_14,10A,14,5,10A_14_5_14,CORRECTIONS,"INMATE HYGIENE AND GROOMING; USE OF TOBACCO PRODUCTS; INMATE IDENTIFICATION PHOTOGRAPHS; HOUSEKEEPING AND SANITATION; CLOTHING, BEDDING, AND LAUNDRY","CLOTHING, BEDDING AND LAUNDRY",Records,,"Current through Register Vol. 57, No. 12, June 16, 2025","(a) A basic and State clothing issue record shall be maintained for each inmate. This record shall include, at a minimum, the following: 1. The inmate's name; 1. The inmate's name; 2. The inmate's number; 3. The inmate's housing area; 4. The inmate's sizes; 5. The items issued to the inmate and the date of issue; and 6. A notation as to whether the issued items were new or used.",title-10a/chapter-14/subchapter-5/section-10a-14-5-14.html
T10A_C14_SC5_SEC10A_14_5_2,10A,14,5,10A_14_5_2,CORRECTIONS,"INMATE HYGIENE AND GROOMING; USE OF TOBACCO PRODUCTS; INMATE IDENTIFICATION PHOTOGRAPHS; HOUSEKEEPING AND SANITATION; CLOTHING, BEDDING, AND LAUNDRY","CLOTHING, BEDDING AND LAUNDRY",Bureau of State Use Industries/DEPTCOR,,"Current through Register Vol. 57, No. 12, June 16, 2025","(a) The basic clothing issue, footwear, special clothing issue, bedding and towels shall be ordered through the Bureau of State Use Industries/DEPTCOR (see N.J.S.A. 30:4-95). (b) Thirty calendar days prior to the July 1 commencement of each fiscal year, the Administrator or designee at each correctional facility shall submit in writing to the Bureau of State Use Industries/DEPTCOR its estimate of basic issue items needed for the ensuing fiscal year (see N.J.S.A. 20:4-96).",title-10a/chapter-14/subchapter-5/section-10a-14-5-2.html
T10A_C14_SC5_SEC10A_14_5_3,10A,14,5,10A_14_5_3,CORRECTIONS,"INMATE HYGIENE AND GROOMING; USE OF TOBACCO PRODUCTS; INMATE IDENTIFICATION PHOTOGRAPHS; HOUSEKEEPING AND SANITATION; CLOTHING, BEDDING, AND LAUNDRY","CLOTHING, BEDDING AND LAUNDRY",Replenishing inmate basic clothing issue,,"Current through Register Vol. 57, No. 12, June 16, 2025","(a) When items of an inmate's basic clothing issue are lost, stolen or condemned, they shall be replaced with a minimum of delay. (b) Previously used basic issue clothing shall not be reissued to inmates unless the clothing is in good condition.",title-10a/chapter-14/subchapter-5/section-10a-14-5-3.html
T10A_C14_SC5_SEC10A_14_5_4,10A,14,5,10A_14_5_4,CORRECTIONS,"INMATE HYGIENE AND GROOMING; USE OF TOBACCO PRODUCTS; INMATE IDENTIFICATION PHOTOGRAPHS; HOUSEKEEPING AND SANITATION; CLOTHING, BEDDING, AND LAUNDRY","CLOTHING, BEDDING AND LAUNDRY",Inmate accountability for State clothing issue,,"Current through Register Vol. 57, No. 12, June 16, 2025","(a) Inmates shall be held accountable for their State issue of clothing. (b) Inmates who mutilate, destroy, lose or alter basic clothing issue items may be subject to disciplinary action, in accordance with N.J.A.C. 10A:4, and may be required to make restitution.",title-10a/chapter-14/subchapter-5/section-10a-14-5-4.html
T10A_C14_SC5_SEC10A_14_5_5,10A,14,5,10A_14_5_5,CORRECTIONS,"INMATE HYGIENE AND GROOMING; USE OF TOBACCO PRODUCTS; INMATE IDENTIFICATION PHOTOGRAPHS; HOUSEKEEPING AND SANITATION; CLOTHING, BEDDING, AND LAUNDRY","CLOTHING, BEDDING AND LAUNDRY",Special clothing issue,,"Current through Register Vol. 57, No. 12, June 16, 2025","(a) Staff at each correctional facility shall provide special issue clothing to inmates assigned to specific work details such as, but not limited to, food service, hospital, farm, sanitation, and mechanical services, and outside details. The special issue clothing may include, but not be limited to, caps or hairnets and clothing related to weather conditions. (b) Inmates scheduled for court trips, death bed visits or attendance at funerals in the community shall be permitted to wear authorized civilian clothing when deemed necessary by the Administrator or designee. Such clothing shall be provided, worn and returned to the correctional facility in accordance with written internal management procedures. (c) Staff at each correctional facility shall, in accordance with written internal management procedures, require inmates to wear special clothing while working outside the facility perimeter. (d) Additional special clothing issue shall be supplied if requested by the inmate and approved by the Administrator or designee.",title-10a/chapter-14/subchapter-5/section-10a-14-5-5.html
T10A_C14_SC5_SEC10A_14_5_6,10A,14,5,10A_14_5_6,CORRECTIONS,"INMATE HYGIENE AND GROOMING; USE OF TOBACCO PRODUCTS; INMATE IDENTIFICATION PHOTOGRAPHS; HOUSEKEEPING AND SANITATION; CLOTHING, BEDDING, AND LAUNDRY","CLOTHING, BEDDING AND LAUNDRY",Inmate release clothing,,"Current through Register Vol. 57, No. 12, June 16, 2025","(a) Inmates and/or their families are expected to make arrangements to provide suitable clothing for inmates upon release. (b) When clothing is not otherwise provided, the correctional facility shall issue clothing to inmates being released. The issue of clothing shall be gender and weather appropriate.",title-10a/chapter-14/subchapter-5/section-10a-14-5-6.html
T10A_C14_SC5_SEC10A_14_5_7,10A,14,5,10A_14_5_7,CORRECTIONS,"INMATE HYGIENE AND GROOMING; USE OF TOBACCO PRODUCTS; INMATE IDENTIFICATION PHOTOGRAPHS; HOUSEKEEPING AND SANITATION; CLOTHING, BEDDING, AND LAUNDRY","CLOTHING, BEDDING AND LAUNDRY",Personal clothing,,,,title-10a/chapter-14/subchapter-5/section-10a-14-5-7.html
T10A_C14_SC5_SEC10A_14_5_8,10A,14,5,10A_14_5_8,CORRECTIONS,"INMATE HYGIENE AND GROOMING; USE OF TOBACCO PRODUCTS; INMATE IDENTIFICATION PHOTOGRAPHS; HOUSEKEEPING AND SANITATION; CLOTHING, BEDDING, AND LAUNDRY","CLOTHING, BEDDING AND LAUNDRY",Marking State clothing issue,,,,title-10a/chapter-14/subchapter-5/section-10a-14-5-8.html
T10A_C14_SC5_SEC10A_14_5_9,10A,14,5,10A_14_5_9,CORRECTIONS,"INMATE HYGIENE AND GROOMING; USE OF TOBACCO PRODUCTS; INMATE IDENTIFICATION PHOTOGRAPHS; HOUSEKEEPING AND SANITATION; CLOTHING, BEDDING, AND LAUNDRY","CLOTHING, BEDDING AND LAUNDRY",Condemning of clothing,,,,title-10a/chapter-14/subchapter-5/section-10a-14-5-9.html
T10A_C15_SC1_SEC10A_15_1_1,10A,15,1,10A_15_1_1,CORRECTIONS,TENURE; TEACHERS AND OTHER CERTIFIED PROFESSIONAL EDUCATORS,GENERAL PROVISIONS,Purpose,,,,title-10a/chapter-15/subchapter-1/section-10a-15-1-1.html
T10A_C15_SC1_SEC10A_15_1_2,10A,15,1,10A_15_1_2,CORRECTIONS,TENURE; TEACHERS AND OTHER CERTIFIED PROFESSIONAL EDUCATORS,GENERAL PROVISIONS,Scope,,"Current through Register Vol. 57, No. 12, June 16, 2025",(a) This chapter applies to all individuals employed by the Department of Corrections who are: 1. Required to possess appropriate educational certification issued by the New Jersey State Board of Examiners as a condition of employment; and 1. Required to possess appropriate educational certification issued by the New Jersey State Board of Examiners as a condition of employment; and 2. Not otherwise included in the New Jersey Department of Personnel career service.,title-10a/chapter-15/subchapter-1/section-10a-15-1-2.html
T10A_C15_SC1_SEC10A_15_1_3,10A,15,1,10A_15_1_3,CORRECTIONS,TENURE; TEACHERS AND OTHER CERTIFIED PROFESSIONAL EDUCATORS,GENERAL PROVISIONS,Definitions,,,,title-10a/chapter-15/subchapter-1/section-10a-15-1-3.html
T10A_C15_SC2_SEC10A_15_2_1,10A,15,2,10A_15_2_1,CORRECTIONS,TENURE; TEACHERS AND OTHER CERTIFIED PROFESSIONAL EDUCATORS,TENURE,Scope of tenure,,,,title-10a/chapter-15/subchapter-2/section-10a-15-2-1.html
T10A_C15_SC2_SEC10A_15_2_2,10A,15,2,10A_15_2_2,CORRECTIONS,TENURE; TEACHERS AND OTHER CERTIFIED PROFESSIONAL EDUCATORS,TENURE,Eligibility,,"Current through Register Vol. 57, No. 12, June 16, 2025","(a) Those individuals who meet the requirements set forth at N.J.A.C. 10A:15-1.2 shall be eligible for tenure as follows: 1. For teaching staff hired prior to August 6, 2012, after the expiration of continuous employment for three consecutive years in tenure eligible assignments with satisfactory evaluations within the scope of a specific standard certificate; and 1. For teaching staff hired prior to August 6, 2012, after the expiration of continuous employment for three consecutive years in tenure eligible assignments with satisfactory evaluations within the scope of a specific standard certificate; and 2. For teaching staff hired on or after August 6, 2012, in accordance with N.J.S.A. 18A:6-117 and 118 and N.J.S.A. 18A:28-5 , after the expiration of continuous employment for four years and one day, consecutively in tenure eligible assignments with satisfactory evaluations within the scope of a specific standard certificate.",title-10a/chapter-15/subchapter-2/section-10a-15-2-2.html
T10A_C15_SC2_SEC10A_15_2_3,10A,15,2,10A_15_2_3,CORRECTIONS,TENURE; TEACHERS AND OTHER CERTIFIED PROFESSIONAL EDUCATORS,TENURE,Appropriate performance assessments,,"Current through Register Vol. 57, No. 12, June 16, 2025","(a) Performance assessments for all teachers and other certified professional educators shall be conducted by the Director, Office of Educational Services, or designee, who has acquired a certificate as School Administrator, Principal or Supervisor. (b) For the purposes of evaluation of teachers and other certified professional educators who have not acquired tenure, the annual performance assessment shall consist of a minimum of: 1. Three observations throughout the year with no more than six months between evaluations; 1. Three observations throughout the year with no more than six months between evaluations; 2. Three written evaluations; and 3. Three conferences.",title-10a/chapter-15/subchapter-2/section-10a-15-2-3.html
T10A_C15_SC2_SEC10A_15_2_4,10A,15,2,10A_15_2_4,CORRECTIONS,TENURE; TEACHERS AND OTHER CERTIFIED PROFESSIONAL EDUCATORS,TENURE,Disciplinary action-tenured staff,,"Current through Register Vol. 57, No. 12, June 16, 2025","(a) In a case where disciplinary action is recommended or implemented as a result of charges made against a tenured employee of the Department, and the disciplinary action does not involve dismissal or reduction in salary, the appointing authority and the Director or designee, Office of Educational Services, shall act in accordance with the Department of Corrections Human Resources Bulletin 84-17. A copy of this Bulletin may be obtained from the Office of Human Resources, Department of Corrections, P.O. Box 863, Trenton, NJ 08625 ATTN: Director. (b) In a case where disciplinary action may result in dismissal or reduction in salary, for reasons other than inefficiency, the charges shall be filed by the tenured employee's supervisor, or higher administrative authority, with the Director, Office of Educational Services. The charges shall be accompanied by a supporting statement of evidence. The charges and supporting statement of evidence shall be executed under oath by the person or persons instituting such charges. 1. The charges, along with the statement of evidence, shall be transmitted to the affected tenured employee and the employee's representative, if known, within three business days of the date the charges were filed with the Director, Office of Educational Services. Proof of mailing or hand delivery shall constitute proof of transmittal. 1. The charges, along with the statement of evidence, shall be transmitted to the affected tenured employee and the employee's representative, if known, within three business days of the date the charges were filed with the Director, Office of Educational Services. Proof of mailing or hand delivery shall constitute proof of transmittal. 2. The affected tenured employee shall have the opportunity to submit to the Director, Office of Educational Services, a written statement of position and a written statement of evidence, both of which shall be executed under oath, within 15 calendar days of receipt of the tenure charges. 3. Within 45 calendar days of receipt of the tenured employee's written statements or upon expiration of the allotted 15 calendar day time period for submission of these statements, the Director, Office of Educational Services, shall determine whether there is probable cause to credit the evidence in support of the charges and whether such charges, if credited, are sufficient to warrant a dismissal or reduction in salary. 4. The Director, Office of Educational Services, shall notify in writing the affected employee against whom a charge has been made of the determination, either in person or by proof of mailing with return receipt requested to the last known address of the employee and the employee's representative, if known. Notification shall be made in person or mailed within three business days of the Director's determination. 5. If the Director, Office of Educational Services, determines that probable cause exists and that the charges, if credited, are sufficient to warrant dismissal or a reduction in salary, the Director shall, within 15 calendar days, file with the Commissioner of the State Department of Education, the charges, the required certificate of determination and the proof of service upon the employee and the employee's representative, if known. A complete copy of all correspondence shall be sent to the affected employee and the affected employee's representative, if known.",title-10a/chapter-15/subchapter-2/section-10a-15-2-4.html
T10A_C15_SC2_SEC10A_15_2_5,10A,15,2,10A_15_2_5,CORRECTIONS,TENURE; TEACHERS AND OTHER CERTIFIED PROFESSIONAL EDUCATORS,TENURE,Reduction in force,,"Current through Register Vol. 57, No. 12, June 16, 2025","(a) Nothing contained in N.J.S.A. 18A shall be held to limit the right of the Commissioner in the case of any educational program conducted under jurisdiction of the Commissioner, supervision or control, to reduce the number of teachers and other certified professional educators in any such educational program or programs when the reduction is due to natural diminution of the number of students participating in the educational program or programs. (b) When such teachers and other certified professional educators under tenure are dismissed by reason of a reduction as noted in (a) above, those teachers and other certified professional educators having the least number of years of service shall be dismissed in preference to those having longer terms of service. Seniority shall be calculated as set forth in the standards for determining seniority at N.J.A.C. 6A:32-5.1. (c) Should any tenured teacher or other tenured certified professional educator be dismissed as a result of a reduction as noted in (a) above, that person shall remain upon a preferred eligible list in the order of years of service for reemployment, whenever vacancies occur, and shall be reemployed by the Commissioner in such order, when, and if, a vacancy occurs in a position for which that tenured teacher or other tenured certified professional educator shall be qualified. Such reemployment shall give full recognition to previous years of service.",title-10a/chapter-15/subchapter-2/section-10a-15-2-5.html
T10A_C16_SC10_SEC10A_16_10_1,10A,16,10,10A_16_10_1,CORRECTIONS,HEALTH SERVICES,MEDICAL TRANSFER,Medical transfer,,"Current through Register Vol. 57, No. 12, June 16, 2025","(a) The Administrator shall submit to the Commissioner or designee, along with the materials required in N.J.A.C. 10A:16-8, Executive clemency, a recommendation as to whether a medical transfer to a more appropriate place of confinement should be granted pending the outcome of the petition for executive clemency. (b) Medical transfer approval or disapproval shall be determined by the Commissioner or designee.",title-10a/chapter-16/subchapter-10/section-10a-16-10-1.html
T10A_C16_SC11_SEC10A_16_11_1,10A,16,11,10A_16_11_1,CORRECTIONS,HEALTH SERVICES,INVOLUNTARY PSYCHOTROPIC MEDICATIONS,Authority,,"Current through Register Vol. 57, No. 12, June 16, 2025","(a) Pursuant to Washington, et al. v. Harper, 494 U.S. 210, 110 S. Ct. 1028 (1990), clinically indicated psychotropic medications which have been prescribed for the inmate by a psychiatrist as part of an individualized treatment plan may be administered by the responsible health care provider to any seriously mentally ill inmate against the will of the inmate and consistent with the medical interests of the inmate. (b) Administration of clinically indicated involuntary psychotropic medications is in an inmate's medical interest where one or more of the following concerns exists: 1. There is substantial likelihood of serious physical harm to the inmate or to others; 1. There is substantial likelihood of serious physical harm to the inmate or to others; 2. There is a substantial likelihood of significant property damage; 3. The inmate is unable to care for himself or herself so that the inmate's health or safety is endangered; and/or 4. The inmate is incapable of participating in any treatment plan which would offer the inmate a realistic opportunity to improve his or her condition.",title-10a/chapter-16/subchapter-11/section-10a-16-11-1.html
T10A_C16_SC11_SEC10A_16_11_2,10A,16,11,10A_16_11_2,CORRECTIONS,HEALTH SERVICES,INVOLUNTARY PSYCHOTROPIC MEDICATIONS,Treatment Review Committee,,"Current through Register Vol. 57, No. 12, June 16, 2025","(a) Within 24 hours of receiving the psychiatrist's involuntary medication recommendation, the responsible health authority shall appoint a Treatment Review Committee. (b) Where the 24 hour period expires on a weekend or holiday, the responsible health authority shall appoint a Treatment Review Committee on the next business day. (c) The Treatment Review Committee shall be composed of: 1. A psychiatrist; 1. A psychiatrist; 2. A psychologist; and 3. The Administrator or designee.",title-10a/chapter-16/subchapter-11/section-10a-16-11-2.html
T10A_C16_SC11_SEC10A_16_11_3,10A,16,11,10A_16_11_3,CORRECTIONS,HEALTH SERVICES,INVOLUNTARY PSYCHOTROPIC MEDICATIONS,Notification of inmate of involuntary medication hearing,,"Current through Register Vol. 57, No. 12, June 16, 2025","(a) An inmate under consideration by the Treatment Review Committee for receiving involuntary medication shall be given written notification at least 24 hours before the hearing. Verbal notice shall be provided to illiterate inmates, inmates not sufficiently conversant with the English language and inmates otherwise unable to read due to a physical/medical inability. (b) The notice shall include the following: 1. The inmate's mental health diagnosis; 1. The inmate's mental health diagnosis; 2. The medication(s) prescribed to treat the inmate's illness; 3. The recommendation to administer the prescribed medication to the inmate against the will of the inmate; 4. The reason(s) for the recommendation; 5. The date, time and location of the hearing; 6. The staff advisor appointed by the chairperson of the Treatment Review Committee, assigned to assist the inmate; and 7. Notation of verbal notice to the inmate requiring same.",title-10a/chapter-16/subchapter-11/section-10a-16-11-3.html
T10A_C16_SC11_SEC10A_16_11_4,10A,16,11,10A_16_11_4,CORRECTIONS,HEALTH SERVICES,INVOLUNTARY PSYCHOTROPIC MEDICATIONS,Inmate rights during the involuntary medication(s) hearing proceeding,,"Current through Register Vol. 57, No. 12, June 16, 2025","(a) The inmate being considered for involuntary medication shall have the following limited rights at the hearing: 1. To refuse medication(s) until the Treatment Review Committee reaches a decision on the administration of involuntary medication(s); 1. To refuse medication(s) until the Treatment Review Committee reaches a decision on the administration of involuntary medication(s); 2. To be present at the hearing and to make a statement to the Treatment Review Committee, unless the Treatment Review Committee determines that it is likely that the inmate's attendance would subject the inmate to substantial risk of serious physical or emotional harm or pose a threat to the safety of others; 3. To have the aid of a staff advisor to assist in presenting evidence and questioning adverse witnesses; 4. To have disclosed the evidence which supports involuntary medication to the extent such disclosure is consistent with the inmate's best medical interests and with correctional facility security; 5. The opportunity to call witnesses and present evidence; 6. The opportunity for confrontation and cross-examination of witnesses; 7. To receive a written and for illiterate inmates, inmates not sufficiently conversant with the English language and inmates otherwise unable to read due to a physical/medical inability, a verbal report of findings and conclusions to include the length of time involuntary medications are to be given within 24 hours of the Treatment Review Committee hearing; and 8. The opportunity to appeal in writing or receive assistance to appeal in writing when the inmate is illiterate, not sufficiently familiar with the English language or otherwise unable to write an appeal due to a physical/medical inability, to the health care authority within 24 hours of receipt of the written/verbal notification of the Treatment Review Committee's decision.",title-10a/chapter-16/subchapter-11/section-10a-16-11-4.html
T10A_C16_SC11_SEC10A_16_11_5,10A,16,11,10A_16_11_5,CORRECTIONS,HEALTH SERVICES,INVOLUNTARY PSYCHOTROPIC MEDICATIONS,Emergency mental health treatment,,,,title-10a/chapter-16/subchapter-11/section-10a-16-11-5.html
T10A_C16_SC11_SEC10A_16_11_6,10A,16,11,10A_16_11_6,CORRECTIONS,HEALTH SERVICES,INVOLUNTARY PSYCHOTROPIC MEDICATIONS,Failure to adhere to time limits,,,,title-10a/chapter-16/subchapter-11/section-10a-16-11-6.html
T10A_C16_SC11_SEC10A_16_11_7,10A,16,11,10A_16_11_7,CORRECTIONS,HEALTH SERVICES,INVOLUNTARY PSYCHOTROPIC MEDICATIONS,Treatment Review Committee decision,,,,title-10a/chapter-16/subchapter-11/section-10a-16-11-7.html
T10A_C16_SC12_SEC10A_16_12_1,10A,16,12,10A_16_12_1,CORRECTIONS,HEALTH SERVICES,SUICIDE PREVENTION,Reporting potential suicidal behavior,,,,title-10a/chapter-16/subchapter-12/section-10a-16-12-1.html
T10A_C16_SC12_SEC10A_16_12_10,10A,16,12,10A_16_12_10,CORRECTIONS,HEALTH SERVICES,SUICIDE PREVENTION,Cutting tool,,,,title-10a/chapter-16/subchapter-12/section-10a-16-12-10.html
T10A_C16_SC12_SEC10A_16_12_11,10A,16,12,10A_16_12_11,CORRECTIONS,HEALTH SERVICES,SUICIDE PREVENTION,"Post orders, policies and procedures",,"Current through Register Vol. 57, No. 12, June 16, 2025","(a) In order to implement this subchapter, each correctional facility shall develop written site-specific post orders and policies and procedures. (b) When developing these post orders, policies and procedures, special attention shall be given to two primary objectives: 1. Maintaining security of the housing unit and the correctional facility at large; and 1. Maintaining security of the housing unit and the correctional facility at large; and 2. Providing the quickest and most effective means by which suicide prevention and/or a suicide attempt is handled in order to save the inmate's life under the circumstances presented.",title-10a/chapter-16/subchapter-12/section-10a-16-12-11.html
T10A_C16_SC12_SEC10A_16_12_2,10A,16,12,10A_16_12_2,CORRECTIONS,HEALTH SERVICES,SUICIDE PREVENTION,Decision making criteria for placing an inmate on or releasing an inmate from...,,"Current through Register Vol. 57, No. 12, June 16, 2025","(a) In determining whether to place an inmate on suicide watch or to release an inmate from suicide watch, the factors to be considered include, but are not limited to: 1. Mood or attitude; 1. Mood or attitude; 2. Behavior; 3. Participation in activities; 4. Personal hygiene; 5. Sleeping patterns; 6. Eating habits; 7. Previous suicide attempts, if known; and/or 8. Other information deemed relevant.",title-10a/chapter-16/subchapter-12/section-10a-16-12-2.html
